==23034== NVPROF is profiling process 23034, command: /opt/conda/bin/python3.7 /opt/conda/bin/lightseq-train /tmp/wmt14_en_de/ --task translation --arch ls_transformer_wmt_en_de_big_t2t --encoder-layers 6 --decoder-layers 6 --optimizer ls_adam --adam-betas (0.9, 0.98) --clip-norm 0.0 --lr 5e-4 --lr-scheduler
==23034== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23034== Profiling application: /opt/conda/bin/python3.7 /opt/conda/bin/lightseq-train /tmp/wmt14_en_de/ --task translation --arch ls_transformer_wmt_en_de_big_t2t --encoder-layers 6 --decoder-layers 6 --optimizer ls_adam --adam-betas (0.9, 0.98) --clip-norm 0.0 --lr 5e-4 --lr-scheduler
==23034== Profiling result:
         Device   Context    Stream                Kernel  inst_executed  inst_per_warp  sm_efficiency  flop_count_hp  flop_count_sp  dram_read_bytes  dram_write_bytes  gld_transactions  gst_transactions         ipc  achieved_occupancy
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          74.72              0        2097152          9446976           4632608           1474682            129024    1.632149            0.124656
Tesla V100-SXM2         1         7  void ls_dropout_act_        1999936     247.762141          65.91        6193152        6451200          4141248           5324896            258048            193536    1.596875            0.739660
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10172670   39736.992188          73.42         524288        2097152         12546496           3476224           2048038             64576    1.424122            0.062358
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          42.00        2064384        1097728          2066112           1357024             96768             48384    0.883466            0.422692
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.74              0            512            13696                 0                16                63    0.067586            0.062460
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.71              0              0            14976               128                63                32    0.079881            0.062455
Tesla V100-SXM2         1         7  void at::native::vec        1574576      15.999837          71.70              0              0              512          25191648                 0            787265    0.456930            0.071981
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          47.84        2064384        4905936          1041024              3712            129024             32760    0.797083            0.348787
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          76.40              0        1572864          7400320           3441056           2320618             96768    1.617097            0.149021
Tesla V100-SXM2         1         7  void bias_add_transf         435456      72.000000          53.74        1548288              0          3105280           2052064            193536             96768    0.586016            0.601530
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          70.32              0        3145728          2064480           1156288            516096             18144    1.593683            0.119337
Tesla V100-SXM2         1         7  void ker_attn_softma         418560    1090.000000          67.18         270336        2838528            88864            517664             18446             18144    0.302245            0.071555
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         125198     186.306548           9.53         169344         529200           338816            399296             15876             15876    1.615833            0.446106
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          69.48              0        3145728          1370976           1086112            346885             32256    1.561964            0.116797
Tesla V100-SXM2         1         7  void transform4d_021         252000     125.000000          30.46              0              0          1035392              3712             32256             32256    0.936138            0.448446
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3130402    6114.066406          75.71         524288        2097152          3022208            726880            794248             64640    1.192944            0.096969
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          35.42        2064384        1097728          1034432            355232             96768             48384    1.234469            0.429194
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          36.76        2064384        4905936          1036288              1664            129024             32760    1.207817            0.320836
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          74.57              0        2097152          9446272           4487328           1476110            129024    1.611382            0.124677
Tesla V100-SXM2         1         7  void ls_dropout_act_        1999936     247.762141          70.51        6193152        6451200          4145344           6298880            258048            193536    1.249385            0.706863
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10172406   39735.960938          73.35         524288        2097152         12546368           3461568           2049176             64576    1.430654            0.062356
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          42.42        2064384        1097728          2071360           1210848             96768             48384    0.852178            0.442624
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.34              0            512                0                 0                16                63    0.262248            0.062037
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.70              0              0            14976               128                63                32    0.082562            0.062461
Tesla V100-SXM2         1         7  void at::native::vec        1574576      15.999837          59.81              0              0             2208          25347872                 0            787265    0.539668            0.093109
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          51.90        2064384        4905936          1041152            705760            129024             32760    0.665464            0.353049
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          75.75              0        1572864          7387968           3325088           2315022             96768    1.616246            0.148219
Tesla V100-SXM2         1         7  void bias_add_transf         435456      72.000000          54.61        1548288              0          3102848           2111552            193536             96768    0.585181            0.597658
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          80.84              0        3145728          2100192           1574208            516096             18144    0.892342            0.119852
Tesla V100-SXM2         1         7  void ker_attn_softma         418560    1090.000000          70.59         270336        2838528           157216            237824             18446             18144    0.278419            0.071779
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         125198     186.306548          10.76         169344         529200           360576            168096             15876             15876    1.293555            0.456364
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          81.87              0        3145728          1406944           1100288            346884             32256    0.815161            0.117470
Tesla V100-SXM2         1         7  void transform4d_021         252000     125.000000          23.70              0              0                0               128             32256             32256    1.367076            0.425427
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3130024    6113.328125          84.82         524288        2097152          3151360           3518560            796866             64640    0.890392            0.094737
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          42.58        2064384        1097728          2071424           1191168             96768             48384    0.848695            0.437023
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          36.87        2064384        4905936          1036288              4224            129024             32760    1.176782            0.327506
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          73.12              0        2097152          9421056           4092960           1473928            129024    1.796168            0.124542
Tesla V100-SXM2         1         7  void ls_dropout_act_        1999936     247.762141          72.14        6193152        6451200          4147008           6404832            258048            193536    1.137327            0.685113
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10167039   39714.996094          71.35         524288        2097152         12518016           2114144           2048579             64576    1.647034            0.062326
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          40.91        2064384        1097728          2065728           1353152             96768             48384    0.860679            0.424077
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.77              0            512            14080              3616                16                63    0.059305            0.062465
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.72              0              0            15360              2048                63                32    0.074317            0.062458
Tesla V100-SXM2         1         7  void at::native::vec        1574576      15.999837          58.74              0              0             2144          25544256                 0            787265    0.543565            0.095494
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          36.53        2064384        4905936           434944             94016            129024             32760    1.196377            0.331197
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          79.36              0        1572864          7401600           3836672           2316564             96768    1.451281            0.147970
Tesla V100-SXM2         1         7  void bias_add_transf         435456      72.000000          51.46        1548288              0          3105280           2561408            193536             96768    0.512302            0.604476
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          81.35              0        3145728          2099936           1376896            516096             18144    0.902771            0.117836
Tesla V100-SXM2         1         7  void ker_attn_softma         418560    1090.000000          68.08         270336        2838528           120608            464672             18446             18144    0.290979            0.071922
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         125198     186.306548          10.42         169344         529200           512384            246272             15876             15876    1.307032            0.455803
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          68.28              0        3145728          1370976           1186944            346884             32256    1.550689            0.117416
Tesla V100-SXM2         1         7  void transform4d_021         252000     125.000000          32.68              0              0          1035520            642880             32256             32256    0.758940            0.458217
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3131851    6116.896484          85.17         524288        2097152          3151360           3614592            797187             64640    0.844658            0.095002
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          41.71        2064384        1097728          1039168            537504             96768             48384    0.909801            0.462060
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          50.92        2064384        4905936          1041152            694016            129024             32760    0.672162            0.356121
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          74.48              0        2097152          9446272           4500288           1473804            129024    1.617046            0.124653
Tesla V100-SXM2         1         7  void ls_dropout_act_        1999936     247.762141          64.05        6193152        6451200          4137152           5438784            258048            193536    1.431880            0.723933
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10172802   39737.507812          73.26         524288        2097152         12546304           3495680           2047930             64576    1.407669            0.062359
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          42.03        2064384        1097728          2071360           1251680             96768             48384    0.793458            0.430849
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.42              0            512              512                 0                16                63    0.188909            0.062287
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.35              0              0                0               896                63                32    0.260717            0.062293
Tesla V100-SXM2         1         7  void at::native::vec        1574576      15.999837          69.40              0              0              512          25188064                 0            787265    0.465545            0.073404
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          47.55        2064384        4905936          1041024              3840            129024             32760    0.765276            0.350758
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          76.38              0        1572864          7453376           3392704           2316564             96768    1.609843            0.145699
Tesla V100-SXM2         1         7  void bias_add_transf         435456      72.000000          52.93        1548288              0          3102976           2112544            193536             96768    0.531540            0.614257
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          80.58              0        3145728          2100192           1571168            516096             18144    0.893539            0.119510
Tesla V100-SXM2         1         7  void ker_attn_softma         418560    1090.000000          66.94         270336        2838528           114464            378560             18446             18144    0.294176            0.071663
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         125198     186.306548          10.19         169344         529200           357888            187808             15876             15876    1.373568            0.453483
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          81.30              0        3145728          1406944           1002176            346884             32256    0.802714            0.118876
Tesla V100-SXM2         1         7  void transform4d_021         252000     125.000000          23.36              0              0          1032192              1792             32256             32256    1.289583            0.415497
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3128356    6110.070312          83.06         524288        2097152          3158592           1166400            793964             64640    0.965915            0.094268
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          37.64        2064384        1097728          1039104            467360             96768             48384    1.087523            0.434528
Tesla V100-SXM2         1         7  void ker_layer_norm<         407736     202.250000          50.13        2064384        4905936          1041152            633120            129024             32760    0.676050            0.355046
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          73.12              0        2097152          9421120           4045408           1473572            129024    1.802222            0.124539
Tesla V100-SXM2         1         7  void ls_dropout_act_        1999936     247.762141          62.97        6193152        6451200          4142144           5249472            258048            193536    1.478277            0.733266
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10166697   39713.660156          71.67         524288        2097152         12518016           2116960           2049003             64576    1.636191            0.062331
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         458304     223.781250          42.73        2064384        1097728          2071360           1289824             96768             48384    0.810918            0.435826
Tesla V100-SXM2         1         7  void cuApplyLayerNor        1150632     570.750000          61.34        3096576       10019016          1040736           1100480            225792             33264    1.200764            0.376999
Tesla V100-SXM2         1         7  void at::native::vec        5468208      15.999953          70.61              0              0             1792          85510912                 0           2734081    0.502496            0.078310
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            599     149.750000           0.26              0              0              256               128               120                60    0.352976            0.060309
Tesla V100-SXM2         1         7  get_tokens_position(           8616     359.000000          13.50              0              0             8192                 0               780               504    0.063968            0.015624
Tesla V100-SXM2         1         7  void lookup_scale_po         445440     232.000000          46.69        1474560        1536000           696032            857952             65280             46080    0.849605            0.339817
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.34              0            512                0               128                16                63    0.256441            0.062299
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.52              0              0                0               128                63                32    0.144399            0.062419
Tesla V100-SXM2         1         7  void at::native::vec        3411632      15.999925          63.80              0              0             2208          54641248                 0           1705794    0.542127            0.090150
Tesla V100-SXM2         1         7  void cutlass::Kernel       33326592   21697.000000          82.97              0       12582912         28986496          13798688           7690148            387072    1.745745            0.115221
Tesla V100-SXM2         1         7  void bias_add_transf        1741824      72.000000          82.83        6193152              0         12413952          11900768            798336            387072    0.489795            0.862362
Tesla V100-SXM2         1         7  void ker_layer_norm<         388320     202.250000          49.66        1966080        4672320           992000            706912            122880             31200    0.672499            0.339488
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          79.23              0        1572864          7340608           3886560           2244916             92160    1.468039            0.148293
Tesla V100-SXM2         1         7  void bias_add_transf         414720      72.000000          50.46        1474560              0          2957888           2375712            184320             92160    0.524320            0.613054
Tesla V100-SXM2         1         7  void cutlass::Kernel        1330176     866.000000          67.69              0         393216          1983712            969184            245760             11520    0.796697            0.223781
Tesla V100-SXM2         1         7  void ker_attn_softma         462336    1204.000000          69.46          92928        2457600           186272            245856             15002             15360    0.305696            0.071807
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         113464     186.618421           8.45         153600         480000           328832            376896             14400             14400    1.598265            0.447354
Tesla V100-SXM2         1         7  void cutlass::Kernel        2777088     904.000000          77.91              0         786432          1308128           1112640            214618             30720    1.216389            0.226099
Tesla V100-SXM2         1         7  void transform4d_021         240000     125.000000          28.73              0              0           986240                 0             30720             30720    0.908795            0.451815
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3129583    6112.466797          84.02         524288        2097152          3105536           1753280            780527             61568    0.924196            0.094736
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         436512     223.622951          35.92        1966080        1045504          1010048            396544             92160             46080    1.078343            0.438533
Tesla V100-SXM2         1         7  void ker_layer_norm<         388320     202.250000          48.73        1966080        4672320           992896            614176            122880             31200    0.707021            0.334668
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3129379    6112.068359          83.97         524288        2097152          3100416           1945664            772545             61568    0.921606            0.094470
Tesla V100-SXM2         1         7  void bias_add_transf         138240      72.000000          29.15         491520              0           318976             93184             61440             30720    0.571355            0.281251
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          80.84              0        3145728          2050784           1345984            503808             17280    0.905499            0.118292
Tesla V100-SXM2         1         7  void ker_attn_softma         399360    1040.000000          66.36         258048        2703360           120480            391776             17627             17280    0.291868            0.071746
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         119150     186.171875           8.83         161280         504000           322688            377568             15120             15120    1.604887            0.446752
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          69.59              0        3145728          1354848           1107584            342707             30720    1.539253            0.114832
Tesla V100-SXM2         1         7  void transform4d_021         240000     125.000000          30.65              0              0           986368            669952             30720             30720    0.808966            0.457011
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3127279    6107.966797          76.32         524288        2097152          3080832            364096            779405             61568    1.232328            0.096637
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         436512     223.622951          33.89        1966080        1045504           903040            564192             92160             46080    1.150529            0.424002
Tesla V100-SXM2         1         7  void ker_layer_norm<         388320     202.250000          46.94        1966080        4672320           991872              3712            122880             31200    0.750435            0.335188
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          74.57              0        2097152          9392384           4251328           1415542            122880    1.616768            0.124697
Tesla V100-SXM2         1         7  void ls_dropout_act_        1904704     247.750260          70.10        5898240        6144000          3949504           5340896            245760            184320    1.211697            0.730040
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10172796   39737.484375          72.99         524288        2097152         12349376           3195520           1998232             61504    1.454845            0.062353
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         436512     223.622951          40.32        1966080        1045504          1972992           1129984             92160             46080    0.828939            0.444369
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.32              0            512                0                 0                16                63    0.261924            0.061986
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.70              0              0            15360               896                63                32    0.074399            0.062465
Tesla V100-SXM2         1         7  void at::native::vec        1837232      15.999861          60.95              0              0             2272          29554432                 0            918594    0.536819            0.091452
Tesla V100-SXM2         1         7  void ker_layer_norm<         388320     202.250000          36.64        1966080        4672320           987136              1920            122880             31200    1.148760            0.313143
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        8519424   11093.000000          78.17              0        1572864          7354688           3896832           2242840             92160    1.472447            0.147440
Tesla V100-SXM2         1         7  void bias_add_transf         414720      72.000000          52.10        1474560              0          2955904           1964224            184320             92160    0.546367            0.593141
Tesla V100-SXM2         1         7  void cutlass::Kernel        1330176     866.000000          67.75              0         393216          1983456            966656            245760             11520    0.838080            0.222420
Tesla V100-SXM2         1         7  void ker_attn_softma         462336    1204.000000          66.79          92928        2457600            91936            481376             15002             15360    0.331685            0.071504
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         113464     186.618421           8.32         153600         480000           343552            373024             14400             14400    1.610401            0.446525
Tesla V100-SXM2         1         7  void cutlass::Kernel        2777088     904.000000          77.93              0         786432          1308384           1183968            214648             30720    1.183097            0.226649
Tesla V100-SXM2         1         7  void transform4d_021         240000     125.000000          27.83              0              0           986240              3712             30720             30720    0.948902            0.449937
